"H_vulgarisAEP","Orthogroup","Ortholog","EnsemblID","EnsemblLongName","genBankAnnotation","PANTHER_ID","PANTHER_NAME","PFAM_ID","PFAM_NAME","UniprotHit"
"HVAEP1_T000073.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,NA
"HVAEP1_T000074.1",NA,NA,NA,NA,NA,"PTHR14819","GTP-BINDING",NA,NA,"GVIN1_MOUSE;Interferon-induced_very_large_GTPase_1"
"HVAEP1_T000075.1",NA,NA,NA,NA,NA,"PTHR22796:SF6","SI:DKEY-217F16.1-RELATED","PF00041; PF05879","Fibronectin type III domain; Root hair defective 3 GTP-binding protein (RHD3)","GVIN1_MOUSE;Interferon-induced_very_large_GTPase_1"
"HVAEP1_T000076.1",NA,NA,NA,NA,NA,NA,NA,"PF13676","TIR domain",NA
"HVAEP1_T000077.1",NA,NA,NA,NA,NA,NA,NA,"PF03184","DDE superfamily endonuclease","CLZ9_COCLU;MFS-type_transporter_clz9"
"HVAEP1_T000078.1",NA,NA,NA,NA,NA,NA,NA,"PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","RTXE_DROME;Probable_RNA-directed_DNA_polymerase_from_transposon_X-element"
"HVAEP1_T000079.1",NA,NA,NA,NA,NA,NA,NA,"PF05485","THAP domain",NA
"HVAEP1_T000081.1",NA,NA,NA,NA,NA,"PTHR34153:SF8","SI:DKEY-65L23.2","PF16064","Domain of unknown function (DUF4806)",NA
"HVAEP1_T000084.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000085.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000087.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000089.1",NA,NA,NA,NA,NA,NA,NA,"PF16064","Domain of unknown function (DUF4806)",NA
"HVAEP1_T000090.1",NA,NA,NA,NA,NA,NA,NA,"PF00069","Protein kinase domain","GDT4_DICDI;Probable_serine/threonine-protein_kinase_gdt4"
"HVAEP1_T000092.1",NA,NA,NA,NA,NA,"PTHR24203","ANKYRIN REPEAT FAMILY PROTEIN","PF12796","Ankyrin repeats (3 copies)",NA
"HVAEP1_T000095.1",NA,NA,NA,NA,NA,"PTHR24121:SF2","ANKYRIN REPEAT AND SOCS BOX PROTEIN 14","PF00023; PF13637; PF12796","Ankyrin repeat; Ankyrin repeats (many copies); Ankyrin repeats (3 copies)","ANR52_CHICK;Serine/threonine-protein_phosphatase_6_regulatory_ankyrin_repeat_subunit_C"
"HVAEP1_T000101.1",NA,NA,NA,NA,NA,"PTHR24125","ANKYRIN REPEAT AND DEATH DOMAIN-CONTAINING PROTEIN","PF13637","Ankyrin repeats (many copies)",NA
"HVAEP1_T000102.1",NA,NA,NA,NA,NA,NA,NA,"PF12796; PF00023; PF13637","Ankyrin repeats (3 copies); Ankyrin repeat; Ankyrin repeats (many copies)","VPYL_MEDTR;Protein_VAPYRIN-LIKE"
"HVAEP1_T000107.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000108.1",NA,NA,NA,NA,NA,NA,NA,"PF00505","HMG (high mobility group) box",NA
"HVAEP1_T000113.1",NA,NA,NA,NA,NA,NA,NA,"PF13384","Homeodomain-like domain",NA
"HVAEP1_T000114.2",NA,NA,NA,NA,NA,NA,NA,"PF00041; PF13676","Fibronectin type III domain; TIR domain",NA
"HVAEP1_T000115.1",NA,NA,NA,NA,NA,NA,NA,"PF03184","DDE superfamily endonuclease","CLZ9_COCLU;MFS-type_transporter_clz9"
"HVAEP1_T000117.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TC1A_CAEEL;Transposable_element_Tc1_transposase"
"HVAEP1_T000118.1",NA,NA,NA,NA,NA,"PTHR46218","LASP","PF00412","LIM domain","LNEBL_MOUSE;LIM_zinc-binding_domain-containing_Nebulette"
"HVAEP1_T000122.1",NA,NA,NA,NA,NA,NA,NA,"PF02892","BED zinc finger",NA
"HVAEP1_T000131.1",NA,NA,NA,NA,NA,NA,NA,"PF00531","Death domain",NA
"HVAEP1_T000136.1",NA,NA,NA,NA,NA,"PTHR45641:SF1","TETRATRICOPEPTIDE REPEAT PROTEIN (AFU_ORTHOLOGUE AFUA_6G03870)","PF13424","Tetratricopeptide repeat",NA
"HVAEP1_T000137.2",NA,NA,NA,NA,NA,NA,NA,"PF13424","Tetratricopeptide repeat",NA
"HVAEP1_T000138.1",NA,NA,NA,NA,NA,NA,NA,"PF13424","Tetratricopeptide repeat",NA
"HVAEP1_T000143.1",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T000159.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000160.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000167.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000171.1","OG0001182","SAMD3","ENSG00000164483","sterile alpha motif domain containing 3",NA,NA,NA,NA,NA,NA
"HVAEP1_T000173.1",NA,NA,NA,NA,NA,NA,NA,"PF16064","Domain of unknown function (DUF4806)",NA
"HVAEP1_T000175.1",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T000177.1",NA,NA,NA,NA,NA,NA,NA,"PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T000179.1",NA,NA,NA,NA,NA,NA,NA,"PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T000180.1",NA,NA,NA,NA,NA,NA,NA,"PF11175","Protein of unknown function (DUF2961)",NA
"HVAEP1_T000182.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,NA
"HVAEP1_T000183.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000184.1",NA,NA,NA,NA,NA,NA,NA,"PF15299","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8",NA
"HVAEP1_T000186.1","OG0000026","CG14478","FBgn0028953","NA",NA,NA,NA,"PF01498","Transposase","TCB2_CAEBR;Transposable_element_Tcb2_transposase"
"HVAEP1_T000187.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000190.1","OG0000007","ZMYM1","ENSG00000197056","zinc finger MYM-type containing 1",NA,NA,NA,NA,NA,NA
"HVAEP1_T000191.1",NA,NA,NA,NA,NA,"PTHR45749:SF11","AC-LIKE TRANSPOSASE-RELATED","PF14291","Domain of unknown function (DUF4371)","ZMYM1_HUMAN;Zinc_finger_MYM-type_protein_1"
"HVAEP1_T000193.1","OG0003115","DYM","ENSG00000141627","dymeclin",NA,NA,NA,NA,NA,NA
"HVAEP1_T000194.1",NA,NA,NA,NA,NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000199.1",NA,NA,NA,NA,NA,"PTHR33395","TRANSCRIPTASE, PUTATIVE-RELATED-RELATED","PF14529","Endonuclease-reverse transcriptase",NA
"HVAEP1_T000200.2",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T000201.1",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T000204.1",NA,NA,NA,NA,NA,"PTHR10725:SF32","DNA TRANSPOSASE THAP9",NA,NA,"PELET_DROME;Transposable_element_P_transposase"
"HVAEP1_T000206.1","OG0000026","CG14478","FBgn0028953","NA",NA,NA,NA,"PF01498","Transposase","TCB2_CAEBR;Transposable_element_Tcb2_transposase"
"HVAEP1_T000217.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000218.1",NA,NA,NA,NA,NA,"PTHR45641:SF1","TETRATRICOPEPTIDE REPEAT PROTEIN (AFU_ORTHOLOGUE AFUA_6G03870)","PF13424","Tetratricopeptide repeat",NA
"HVAEP1_T000222.1","OG0001182","SAMD3","ENSG00000164483","sterile alpha motif domain containing 3",NA,NA,NA,NA,NA,NA
"HVAEP1_T000223.1",NA,NA,NA,NA,NA,NA,NA,"PF05485","THAP domain",NA
"HVAEP1_T000224.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000228.1","OG0000341","RNF4","ENSG00000063978","ring finger protein 4",NA,"PTHR23041","RING FINGER DOMAIN-CONTAINING","PF14634","zinc-RING finger domain","RNF4_HUMAN;E3_ubiquitin-protein_ligase_RNF4"
"HVAEP1_T000232.1",NA,NA,NA,NA,NA,"PTHR24106","NACHT, LRR AND CARD DOMAINS-CONTAINING","PF05729","NACHT domain","NAL12_HUMAN;NACHT,_LRR_and_PYD_domains-containing_protein_12"
"HVAEP1_T000235.1",NA,NA,NA,NA,NA,"PTHR24095:SF126","ACETYL-COENZYME A SYNTHETASE, CYTOPLASMIC",NA,NA,"ACSA_DROME;Acetyl-coenzyme_A_synthetase"
"HVAEP1_T000238.1",NA,NA,NA,NA,NA,"PTHR22796:SF13","UP-REGULATOR OF CELL PROLIFERATION",NA,NA,"GVIN1_MOUSE;Interferon-induced_very_large_GTPase_1"
"HVAEP1_T000239.1",NA,NA,NA,NA,NA,"PTHR22796:SF6","SI:DKEY-217F16.1-RELATED",NA,NA,NA
"HVAEP1_T000240.1",NA,NA,NA,NA,NA,"PTHR22796:SF6","SI:DKEY-217F16.1-RELATED",NA,NA,"GVIN1_MOUSE;Interferon-induced_very_large_GTPase_1"
"HVAEP1_T000241.1",NA,NA,NA,NA,NA,"PTHR14819","GTP-BINDING",NA,NA,"GVIN1_MOUSE;Interferon-induced_very_large_GTPase_1"
"HVAEP1_T000242.1","OG0000218","LASP1","ENSG00000002834","LIM and SH3 protein 1",NA,"PTHR46218","LASP","PF00412","LIM domain","LNEBL_MOUSE;LIM_zinc-binding_domain-containing_Nebulette"
"HVAEP1_T000245.1",NA,NA,NA,NA,NA,NA,NA,"PF02892","BED zinc finger",NA
"HVAEP1_T000249.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000250.1",NA,NA,NA,NA,NA,"PTHR47526","ATP-DEPENDENT DNA HELICASE","PF02037","SAP domain",NA
"HVAEP1_T000252.1",NA,NA,NA,NA,NA,"PTHR33309:SF5","MICROSOMAL DIPEPTIDASE FAMILY PROTEIN",NA,NA,NA
"HVAEP1_T000254.1",NA,NA,NA,NA,NA,NA,NA,"PF05225","helix-turn-helix, Psq domain",NA
"HVAEP1_T000256.1","OG0002356","CG17078","FBgn0086855","NA",NA,"PTHR31912:SF31","SI:CH211-111E20.1-RELATED",NA,NA,NA
"HVAEP1_T000257.1",NA,NA,NA,NA,NA,"PTHR31912:SF32","ZINC FINGER, C2H2 TYPE DOMAINCONTAINING PROTEIN",NA,NA,NA
"HVAEP1_T000258.1",NA,NA,NA,NA,NA,NA,NA,"PF05225","helix-turn-helix, Psq domain",NA
"HVAEP1_T000261.1",NA,NA,NA,NA,NA,NA,NA,"PF00505","HMG (high mobility group) box","SOX7_XENLA;Transcription_factor_Sox-7"
"HVAEP1_T000262.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000264.1",NA,NA,NA,NA,NA,"PTHR34825:SF1","CONSERVED PROTEIN, WITH A WEAK D-GALACTARATE DEHYDRATASE/ALTRONATE HYDROLASE DOMAIN","PF09820","Predicted AAA-ATPase",NA
"HVAEP1_T000267.3",NA,NA,NA,NA,NA,NA,NA,"PF13424","Tetratricopeptide repeat",NA
"HVAEP1_T000271.1",NA,NA,NA,NA,NA,NA,NA,"PF00531","Death domain",NA
"HVAEP1_T000272.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,NA,NA,NA,NA,NA
"HVAEP1_T000273.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,"PTHR13139:SF54","LD12033P","PF18386","Roquin II domain","RC3H1_XENLA;Roquin-1"
"HVAEP1_T000279.1","OG0003115","DYM","ENSG00000141627","dymeclin",NA,NA,NA,NA,NA,NA
"HVAEP1_T000281.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000284.1",NA,NA,NA,NA,NA,"PTHR33053:SF18","AGAP000105-PA",NA,NA,NA
"HVAEP1_T000293.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5","PF00400","WD domain, G-beta repeat","RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000294.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000295.2",NA,NA,NA,NA,NA,"PTHR14819","GTP-BINDING","PF05879","Root hair defective 3 GTP-binding protein (RHD3)","GVIN1_MOUSE;Interferon-induced_very_large_GTPase_1"
"HVAEP1_T000299.2",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000301.1","OG0000802","PIH1D2","ENSG00000150773","PIH1 domain containing 2",NA,NA,NA,"PF18201","PIH1 CS-like domain","PIHD2_XENTR;PIH1_domain-containing_protein_2"
"HVAEP1_T000302.1","OG0000802","PIH1D2","ENSG00000150773","PIH1 domain containing 2",NA,NA,NA,NA,NA,NA
"HVAEP1_T000303.1","OG0003115","DYM","ENSG00000141627","dymeclin",NA,NA,NA,"PF09742","Dyggve-Melchior-Clausen syndrome protein","DYM_XENLA;Dymeclin"
"HVAEP1_T000305.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000306.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000308.1","OG0001182","SAMD3","ENSG00000164483","sterile alpha motif domain containing 3",NA,NA,NA,NA,NA,NA
"HVAEP1_T000311.1",NA,NA,NA,NA,NA,NA,NA,"PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T000315.1",NA,NA,NA,NA,NA,NA,NA,"PF14388","Domain of unknown function (DUF4419)",NA
"HVAEP1_T000322.1",NA,NA,NA,NA,NA,"PTHR34153:SF8","SI:DKEY-65L23.2",NA,NA,NA
"HVAEP1_T000328.1",NA,NA,NA,NA,NA,NA,NA,"PF05970","PIF1-like helicase",NA
"HVAEP1_T000331.1","OG0001925","CG2617","FBgn0032877","NA",NA,NA,NA,"PF13920","Zinc finger, C3HC4 type (RING finger)","IAP1_NPVAC;Apoptosis_inhibitor_1"
"HVAEP1_T000332.1",NA,NA,NA,NA,NA,"PTHR45749:SF9","AC-LIKE TRANSPOSASE",NA,NA,NA
"HVAEP1_T000338.2","OG0000128","CASP8, CASP10","ENSG00000064012, ENSG00000003400","caspase 8, caspase 10",NA,"PTHR10454:SF209","CASPASE-18/A","PF00656","Caspase domain","CASPA_HUMAN;Caspase-10"
"HVAEP1_T000340.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOBOT_DROME;Transposable_element_Hobo_transposase"
"HVAEP1_T000341.1","OG0000013","cdh-8","WBGene00017576","CaDHerin family",NA,NA,NA,NA,NA,NA
"HVAEP1_T000342.1","OG0000574","KMT5A","ENSG00000183955","lysine methyltransferase 5A",NA,NA,NA,NA,NA,NA
"HVAEP1_T000346.1",NA,NA,NA,NA,NA,NA,NA,"PF05699","hAT family C-terminal dimerisation region",NA
"HVAEP1_T000359.1",NA,NA,NA,NA,NA,"PTHR47326","TRANSPOSABLE ELEMENT TC3 TRANSPOSASE-LIKE PROTEIN","PF16087","Helix-turn-helix domain (DUF4817)",NA
"HVAEP1_T000361.2",NA,NA,NA,NA,NA,"PTHR45749:SF9","AC-LIKE TRANSPOSASE",NA,NA,NA
"HVAEP1_T000366.1",NA,NA,NA,NA,NA,NA,NA,"PF14388","Domain of unknown function (DUF4419)",NA
"HVAEP1_T000368.1","OG0000128","CASP8, CASP10","ENSG00000064012, ENSG00000003400","caspase 8, caspase 10",NA,"PTHR10454:SF209","CASPASE-18/A","PF00656","Caspase domain","CASP7_MOUSE;Caspase-7"
"HVAEP1_T000378.1",NA,NA,NA,NA,NA,"PTHR10725:SF51","SI:CH211-69L10.4",NA,NA,NA
"HVAEP1_T000386.1","OG0000128","CASP8, CASP10","ENSG00000064012, ENSG00000003400","caspase 8, caspase 10",NA,"PTHR10454:SF210","CASPASE-RELATED","PF00656","Caspase domain","CASP7_HUMAN;Caspase-7"
"HVAEP1_T000390.2",NA,NA,NA,NA,NA,"PTHR45736:SF7","ZINC FINGER MYM-TYPE PROTEIN 5",NA,NA,"ZMYM5_MACFA;Zinc_finger_MYM-type_protein_5"
"HVAEP1_T000391.1",NA,NA,NA,NA,NA,"PTHR47326","TRANSPOSABLE ELEMENT TC3 TRANSPOSASE-LIKE PROTEIN",NA,NA,NA
"HVAEP1_T000397.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,"PTHR13139:SF54","LD12033P","PF18386","Roquin II domain","RC3H1_MOUSE;Roquin-1"
"HVAEP1_T000398.1",NA,NA,NA,NA,NA,NA,NA,"PF05485","THAP domain",NA
"HVAEP1_T000401.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000408.1",NA,NA,NA,NA,NA,NA,NA,"PF00505","HMG (high mobility group) box","SOX7_XENLA;Transcription_factor_Sox-7"
"HVAEP1_T000410.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,"PTHR13139:SF54","LD12033P","PF18386","Roquin II domain","RC3H1_MOUSE;Roquin-1"
"HVAEP1_T000411.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,NA,NA,NA,NA,NA
"HVAEP1_T000418.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000423.1",NA,NA,NA,NA,NA,"PTHR46169:SF14","SIN3-HDAC COMPLEX-ASSOCIATED FACTOR,-LIKE-RELATED","PF02892","BED zinc finger","HOBOT_DROME;Transposable_element_Hobo_transposase"
"HVAEP1_T000424.1","OG0000057","C10A4.1, K09A11.1, B0545.4","WBGene00015662, WBGene00010704, WBGene00015247","hypothetical protein",NA,"PTHR47611","HAT DIMERISATION DOMAIN, C-TERMINAL","PF05699","hAT family C-terminal dimerisation region","ZBED4_MOUSE;Zinc_finger_BED_domain-containing_protein_4"
"HVAEP1_T000425.1",NA,NA,NA,NA,NA,NA,NA,"PF00531","Death domain",NA
